Init time, 0.050705
Iteration: 160, 0.065350, 11.919965
Iteration: 161, 0.066652, 11.988725
Iteration: 162, 0.069822, 12.060637
Iteration: 163, 0.066972, 12.129675
Iteration: 164, 0.064553, 12.196168
Iteration: 165, 0.065717, 12.263937
Iteration: 166, 0.067143, 12.333102
Iteration: 167, 0.066640, 12.401823
Iteration: 168, 0.063089, 12.468264
Iteration: 169, 0.065167, 12.536141
Iteration: 170, 0.065846, 12.604043
Iteration: 171, 0.065505, 12.671627
Iteration: 172, 0.064538, 12.738306
Iteration: 173, 0.064563, 12.806503
Iteration: 174, 0.070012, 12.879614
Iteration: 175, 0.072428, 12.954116
Iteration: 176, 0.064602, 13.020793
Iteration: 177, 0.062941, 13.085668
Iteration: 178, 0.064958, 13.152704
Iteration: 179, 0.065447, 13.220241
Iteration: 180, 0.065088, 13.287440
Iteration: 181, 0.064552, 13.354051
Iteration: 182, 0.062488, 13.419193
Iteration: 183, 0.067235, 13.488478
Iteration: 184, 0.066766, 13.557396
Iteration: 185, 0.064532, 13.624407
Iteration: 186, 0.063476, 13.690117
Iteration: 187, 0.066308, 13.758834
Iteration: 188, 0.066074, 13.827091
Iteration: 189, 0.064427, 13.893584
Iteration: 190, 0.065967, 13.961544
Iteration: 191, 0.076666, 14.040293
Iteration: 192, 0.075802, 14.118952
Iteration: 193, 0.064950, 14.185995
Iteration: 194, 0.064580, 14.252733
Iteration: 195, 0.064320, 14.319127
Iteration: 196, 0.064296, 14.385536
Iteration: 197, 0.062123, 14.449575
Iteration: 198, 0.065309, 14.516898
Iteration: 199, 0.064770, 14.583698
Iteration: 200, 0.073187, 14.658935
Iteration: 201, 0.090490, 14.752006
Iteration: 202, 0.083168, 14.837331
Iteration: 203, 0.087686, 14.927295
Iteration: 204, 0.084555, 15.014482
Iteration: 205, 0.086426, 15.104251
Iteration: 206, 0.092007, 15.198866
Iteration: 207, 0.074892, 15.277132
Iteration: 208, 0.066995, 15.346180
Iteration: 209, 0.063873, 15.411996
Iteration: 210, 0.065977, 15.480030
Iteration: 211, 0.065052, 15.547146
Iteration: 212, 0.064572, 15.613786
Iteration: 213, 0.062016, 15.677749
Iteration: 214, 0.064340, 15.744106
Iteration: 215, 0.064383, 15.810523
