Init time, 0.032323
Iteration: 160, 0.017919, 3.704218
Iteration: 161, 0.021559, 3.725778
Iteration: 162, 0.022299, 3.748079
Iteration: 163, 0.017807, 3.765887
Iteration: 164, 0.022634, 3.788522
Iteration: 165, 0.021860, 3.810384
Iteration: 166, 0.018595, 3.828980
Iteration: 167, 0.022121, 3.851103
Iteration: 168, 0.022175, 3.873279
Iteration: 169, 0.017971, 3.891251
Iteration: 170, 0.022800, 3.914052
Iteration: 171, 0.021296, 3.935350
Iteration: 172, 0.019042, 3.954394
Iteration: 173, 0.018357, 3.972752
Iteration: 174, 0.022598, 3.995351
Iteration: 175, 0.024375, 4.019728
Iteration: 176, 0.021513, 4.041243
Iteration: 177, 0.021070, 4.062314
Iteration: 178, 0.021371, 4.083687
Iteration: 179, 0.019205, 4.102893
Iteration: 180, 0.024034, 4.126928
Iteration: 181, 0.025597, 4.152526
Iteration: 182, 0.023010, 4.175537
Iteration: 183, 0.019995, 4.195533
Iteration: 184, 0.023912, 4.219447
Iteration: 185, 0.023939, 4.243388
Iteration: 186, 0.025740, 4.269130
Iteration: 187, 0.020514, 4.289645
Iteration: 188, 0.024233, 4.313890
Iteration: 189, 0.020939, 4.334831
Iteration: 190, 0.023846, 4.358679
Iteration: 191, 0.019352, 4.378032
Iteration: 192, 0.025714, 4.403748
Iteration: 193, 0.025780, 4.429530
Iteration: 194, 0.025813, 4.455344
Iteration: 195, 0.021532, 4.476878
Iteration: 196, 0.024943, 4.501822
Iteration: 197, 0.024293, 4.526116
Iteration: 198, 0.023103, 4.549221
Iteration: 199, 0.021463, 4.570686
Iteration: 200, 0.021840, 4.592527
Iteration: 201, 0.033765, 4.626293
Iteration: 202, 0.024697, 4.650992
Iteration: 203, 0.025002, 4.675996
Iteration: 204, 0.042090, 4.718088
Iteration: 205, 0.023713, 4.741803
Iteration: 206, 0.024932, 4.766736
Iteration: 207, 0.026867, 4.793604
Iteration: 208, 0.020277, 4.813882
Iteration: 209, 0.020268, 4.834152
Iteration: 210, 0.023111, 4.857265
Iteration: 211, 0.024476, 4.881743
Iteration: 212, 0.018858, 4.900603
Iteration: 213, 0.048034, 4.948638
Iteration: 214, 0.057571, 5.006210
Iteration: 215, 0.080415, 5.086627
Iteration: 216, 0.070118, 5.156747
Iteration: 217, 0.142841, 5.299589
Iteration: 218, 0.062622, 5.362212
Iteration: 219, 0.061044, 5.423257
Iteration: 220, 0.038767, 5.462026
Iteration: 221, 0.025899, 5.487926
Iteration: 222, 0.017879, 5.505806
Iteration: 223, 0.026743, 5.532550
Iteration: 224, 0.022840, 5.555391
Iteration: 225, 0.023952, 5.579345
Iteration: 226, 0.018989, 5.598335
Iteration: 227, 0.024137, 5.622473
Iteration: 228, 0.024070, 5.646544
Iteration: 229, 0.018606, 5.665152
Iteration: 230, 0.020346, 5.685499
Iteration: 231, 0.022804, 5.708305
Iteration: 232, 0.026495, 5.734801
Iteration: 233, 0.020274, 5.755077
Iteration: 234, 0.025454, 5.780532
Iteration: 235, 0.024190, 5.804723
Iteration: 236, 0.022474, 5.827199
Iteration: 237, 0.017911, 5.845112
Iteration: 238, 0.021233, 5.866351
Iteration: 239, 0.021899, 5.888252
Iteration: 240, 0.017272, 5.905525
Iteration: 241, 0.022451, 5.927978
Iteration: 242, 0.022492, 5.950472
Iteration: 243, 0.019507, 5.969981
Iteration: 244, 0.026309, 5.996292
Iteration: 245, 0.022266, 6.018559
Iteration: 246, 0.023181, 6.041742
Iteration: 247, 0.019692, 6.061436
Iteration: 248, 0.024903, 6.086340
Iteration: 249, 0.021480, 6.107821
Iteration: 250, 0.026332, 6.134155
Iteration: 251, 0.020296, 6.154453
Iteration: 252, 0.024225, 6.178679
Iteration: 253, 0.020919, 6.199600
Iteration: 254, 0.026209, 6.225811
Iteration: 255, 0.023851, 6.249664
Iteration: 256, 0.026592, 6.276258
Iteration: 257, 0.026986, 6.303246
Iteration: 258, 0.026847, 6.330094
Iteration: 259, 0.024975, 6.355070
Iteration: 260, 0.020964, 6.376035
Iteration: 261, 0.020552, 6.396588
Iteration: 262, 0.024921, 6.421510
Iteration: 263, 0.021401, 6.442912
Iteration: 264, 0.018399, 6.461313
Iteration: 265, 0.023691, 6.485006
Iteration: 266, 0.024422, 6.509429
Iteration: 267, 0.021907, 6.531337
Iteration: 268, 0.023607, 6.554945
Iteration: 269, 0.021888, 6.576834
Iteration: 270, 0.022634, 6.599469
Iteration: 271, 0.025724, 6.625195
Iteration: 272, 0.019214, 6.644411
Iteration: 273, 0.022192, 6.666605
Iteration: 274, 0.025196, 6.691803
Iteration: 275, 0.017606, 6.709411
Iteration: 276, 0.024817, 6.734230
Iteration: 277, 0.022776, 6.757008
Iteration: 278, 0.022859, 6.779869
Iteration: 279, 0.017768, 6.797638
Iteration: 280, 0.021988, 6.819627
Iteration: 281, 0.018603, 6.838232
Iteration: 282, 0.017838, 6.856072
Iteration: 283, 0.022624, 6.878697
Iteration: 284, 0.021970, 6.900669
Iteration: 285, 0.017834, 6.918504
Iteration: 286, 0.022348, 6.940853
Iteration: 287, 0.021803, 6.962658
Iteration: 288, 0.019124, 6.981783
Iteration: 289, 0.022842, 7.004627
Iteration: 290, 0.021750, 7.026378
Iteration: 291, 0.018078, 7.044458
Iteration: 292, 0.022458, 7.066917
Iteration: 293, 0.021253, 7.088171
Iteration: 294, 0.017820, 7.105992
Iteration: 295, 0.022401, 7.128395
Iteration: 296, 0.023989, 7.152386
Iteration: 297, 0.017829, 7.170216
Iteration: 298, 0.021502, 7.191719
Iteration: 299, 0.021951, 7.213671
Iteration: 300, 0.017550, 7.231222
Iteration: 301, 0.034894, 7.266117
Iteration: 302, 0.018398, 7.284516
Iteration: 303, 0.022666, 7.307184
Iteration: 304, 0.022030, 7.329216
Iteration: 305, 0.021432, 7.350650
Iteration: 306, 0.024389, 7.375040
Iteration: 307, 0.023325, 7.398367
Iteration: 308, 0.018296, 7.416665
